Labels	EY2_2 lifetime	
Type	Time Scan	
Comment		
Start	0.00	
Stop	7.992E007	
Step	8E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

0.00	3.038E+3	
8E04	2.946E+3	
1.6E05	2.941E+3	
2.4E05	3.043E+3	
3.2E05	2.875E+3	
4E05	2.921E+3	
4.8E05	2.945E+3	
5.6E05	2.954E+3	
6.4E05	2.824E+3	
7.2E05	2.995E+3	
8E05	2.849E+3	
8.8E05	2.908E+3	
9.6E05	3.244E+3	
1.04E06	1.022E+4	
1.12E06	1.657E+4	
1.2E06	1.742E+4	
1.28E06	1.745E+4	
1.36E06	1.728E+4	
1.44E06	1.725E+4	
1.52E06	1.711E+4	
1.6E06	1.665E+4	
1.68E06	1.641E+4	
1.76E06	1.662E+4	
1.84E06	1.648E+4	
1.92E06	1.604E+4	
2E06	1.644E+4	
2.08E06	1.606E+4	
2.16E06	1.581E+4	
2.24E06	1.571E+4	
2.32E06	1.593E+4	
2.4E06	1.559E+4	
2.48E06	1.530E+4	
2.56E06	1.544E+4	
2.64E06	1.524E+4	
2.72E06	1.480E+4	
2.8E06	1.511E+4	
2.88E06	1.453E+4	
2.96E06	1.475E+4	
3.04E06	1.463E+4	
3.12E06	1.450E+4	
3.2E06	1.446E+4	
3.28E06	1.422E+4	
3.36E06	1.397E+4	
3.44E06	1.423E+4	
3.52E06	1.398E+4	
3.6E06	1.389E+4	
3.68E06	1.378E+4	
3.76E06	1.369E+4	
3.84E06	1.357E+4	
3.92E06	1.355E+4	
4E06	1.324E+4	
4.08E06	1.312E+4	
4.16E06	1.309E+4	
4.24E06	1.306E+4	
4.32E06	1.300E+4	
4.4E06	1.297E+4	
4.48E06	1.266E+4	
4.56E06	1.263E+4	
4.64E06	1.264E+4	
4.72E06	1.258E+4	
4.8E06	1.245E+4	
4.88E06	1.236E+4	
4.96E06	1.224E+4	
5.04E06	1.217E+4	
5.12E06	1.216E+4	
5.2E06	1.184E+4	
5.28E06	1.184E+4	
5.36E06	1.159E+4	
5.44E06	1.155E+4	
5.52E06	1.146E+4	
5.6E06	1.166E+4	
5.68E06	1.120E+4	
5.76E06	1.141E+4	
5.84E06	1.117E+4	
5.92E06	1.113E+4	
6E06	1.101E+4	
6.08E06	1.114E+4	
6.16E06	1.096E+4	
6.24E06	1.086E+4	
6.32E06	1.080E+4	
6.4E06	1.070E+4	
6.48E06	1.062E+4	
6.56E06	1.066E+4	
6.64E06	1.052E+4	
6.72E06	1.034E+4	
6.8E06	1.044E+4	
6.88E06	1.028E+4	
6.96E06	1.035E+4	
7.04E06	1.024E+4	
7.12E06	9.979E+3	
7.2E06	1.015E+4	
7.28E06	1.012E+4	
7.36E06	9.975E+3	
7.44E06	9.983E+3	
7.52E06	9.910E+3	
7.6E06	9.640E+3	
7.68E06	9.577E+3	
7.76E06	9.821E+3	
7.84E06	9.659E+3	
7.92E06	9.586E+3	
8E06	9.412E+3	
8.08E06	9.530E+3	
8.16E06	9.413E+3	
8.24E06	9.223E+3	
8.32E06	9.156E+3	
8.4E06	9.157E+3	
8.48E06	9.062E+3	
8.56E06	8.999E+3	
8.64E06	9.030E+3	
8.72E06	8.844E+3	
8.8E06	8.815E+3	
8.88E06	8.855E+3	
8.96E06	8.634E+3	
9.04E06	8.651E+3	
9.12E06	8.677E+3	
9.2E06	8.588E+3	
9.28E06	8.634E+3	
9.36E06	8.530E+3	
9.44E06	8.424E+3	
9.52E06	8.458E+3	
9.6E06	8.410E+3	
9.68E06	8.209E+3	
9.76E06	8.132E+3	
9.84E06	8.309E+3	
9.92E06	8.131E+3	
1E07	8.045E+3	
1.008E007	8.169E+3	
1.016E007	7.973E+3	
1.024E007	7.938E+3	
1.032E007	7.922E+3	
1.04E07	7.771E+3	
1.048E007	7.858E+3	
1.056E007	7.654E+3	
1.064E007	7.585E+3	
1.072E007	7.712E+3	
1.08E07	7.617E+3	
1.088E007	7.693E+3	
1.096E007	7.521E+3	
1.104E007	7.415E+3	
1.112E007	7.477E+3	
1.12E07	7.389E+3	
1.128E007	7.382E+3	
1.136E007	7.394E+3	
1.144E007	7.411E+3	
1.152E007	7.261E+3	
1.16E07	7.175E+3	
1.168E007	7.167E+3	
1.176E007	7.134E+3	
1.184E007	7.140E+3	
1.192E007	7.164E+3	
1.2E07	6.918E+3	
1.208E007	6.905E+3	
1.216E007	6.921E+3	
1.224E007	6.894E+3	
1.232E007	6.970E+3	
1.24E07	6.675E+3	
1.248E007	6.774E+3	
1.256E007	6.804E+3	
1.264E007	6.655E+3	
1.272E007	6.602E+3	
1.28E07	6.670E+3	
1.288E007	6.641E+3	
1.296E007	6.480E+3	
1.304E007	6.444E+3	
1.312E007	6.535E+3	
1.32E07	6.423E+3	
1.328E007	6.449E+3	
1.336E007	6.388E+3	
1.344E007	6.345E+3	
1.352E007	6.444E+3	
1.36E07	6.415E+3	
1.368E007	6.254E+3	
1.376E007	6.273E+3	
1.384E007	6.252E+3	
1.392E007	6.175E+3	
1.4E07	6.206E+3	
1.408E007	6.139E+3	
1.416E007	6.141E+3	
1.424E007	5.975E+3	
1.432E007	6.014E+3	
1.44E07	6.014E+3	
1.448E007	5.875E+3	
1.456E007	6.045E+3	
1.464E007	5.962E+3	
1.472E007	5.988E+3	
1.48E07	6.121E+3	
1.488E007	5.886E+3	
1.496E007	5.819E+3	
1.504E007	5.666E+3	
1.512E007	5.835E+3	
1.52E07	5.795E+3	
1.528E007	5.753E+3	
1.536E007	5.629E+3	
1.544E007	5.767E+3	
1.552E007	5.598E+3	
1.56E07	5.642E+3	
1.568E007	5.460E+3	
1.576E007	5.507E+3	
1.584E007	5.491E+3	
1.592E007	5.523E+3	
1.6E07	5.433E+3	
1.608E007	5.529E+3	
1.616E007	5.450E+3	
1.624E007	5.414E+3	
1.632E007	5.347E+3	
1.64E07	5.546E+3	
1.648E007	5.339E+3	
1.656E007	5.381E+3	
1.664E007	5.254E+3	
1.672E007	5.395E+3	
1.68E07	5.197E+3	
1.688E007	5.252E+3	
1.696E007	5.330E+3	
1.704E007	5.218E+3	
1.712E007	5.150E+3	
1.72E07	5.048E+3	
1.728E007	5.095E+3	
1.736E007	5.075E+3	
1.744E007	5.166E+3	
1.752E007	5.125E+3	
1.76E07	5.085E+3	
1.768E007	5.085E+3	
1.776E007	5.089E+3	
1.784E007	5.016E+3	
1.792E007	4.948E+3	
1.8E07	4.968E+3	
1.808E007	5.019E+3	
1.816E007	4.939E+3	
1.824E007	4.931E+3	
1.832E007	4.921E+3	
1.84E07	4.887E+3	
1.848E007	4.852E+3	
1.856E007	4.777E+3	
1.864E007	4.902E+3	
1.872E007	4.853E+3	
1.88E07	4.795E+3	
1.888E007	4.841E+3	
1.896E007	4.705E+3	
1.904E007	4.777E+3	
1.912E007	4.761E+3	
1.92E07	4.781E+3	
1.928E007	4.756E+3	
1.936E007	4.663E+3	
1.944E007	4.653E+3	
1.952E007	4.568E+3	
1.96E07	4.548E+3	
1.968E007	4.592E+3	
1.976E007	4.681E+3	
1.984E007	4.624E+3	
1.992E007	4.510E+3	
2E07	4.503E+3	
2.008E007	4.509E+3	
2.016E007	4.509E+3	
2.024E007	4.549E+3	
2.032E007	4.453E+3	
2.04E07	4.498E+3	
2.048E007	4.507E+3	
2.056E007	4.500E+3	
2.064E007	4.458E+3	
2.072E007	4.420E+3	
2.08E07	4.359E+3	
2.088E007	4.367E+3	
2.096E007	4.356E+3	
2.104E007	4.346E+3	
2.112E007	4.408E+3	
2.12E07	4.388E+3	
2.128E007	4.535E+3	
2.136E007	4.338E+3	
2.144E007	4.175E+3	
2.152E007	4.331E+3	
2.16E07	4.325E+3	
2.168E007	4.272E+3	
2.176E007	4.175E+3	
2.184E007	4.222E+3	
2.192E007	4.245E+3	
2.2E07	4.217E+3	
2.208E007	4.156E+3	
2.216E007	4.213E+3	
2.224E007	4.223E+3	
2.232E007	4.239E+3	
2.24E07	4.155E+3	
2.248E007	4.205E+3	
2.256E007	4.068E+3	
2.264E007	3.993E+3	
2.272E007	4.197E+3	
2.28E07	4.115E+3	
2.288E007	4.044E+3	
2.296E007	4.112E+3	
2.304E007	4.137E+3	
2.312E007	4.088E+3	
2.32E07	4.067E+3	
2.328E007	4.019E+3	
2.336E007	4.068E+3	
2.344E007	4.012E+3	
2.352E007	3.994E+3	
2.36E07	3.936E+3	
2.368E007	3.917E+3	
2.376E007	3.980E+3	
2.384E007	3.991E+3	
2.392E007	4.128E+3	
2.4E07	3.960E+3	
2.408E007	3.952E+3	
2.416E007	3.855E+3	
2.424E007	3.895E+3	
2.432E007	3.785E+3	
2.44E07	3.959E+3	
2.448E007	3.786E+3	
2.456E007	3.938E+3	
2.464E007	3.768E+3	
2.472E007	3.899E+3	
2.48E07	3.934E+3	
2.488E007	3.863E+3	
2.496E007	3.833E+3	
2.504E007	3.810E+3	
2.512E007	3.790E+3	
2.52E07	3.883E+3	
2.528E007	3.768E+3	
2.536E007	3.836E+3	
2.544E007	3.772E+3	
2.552E007	3.892E+3	
2.56E07	3.700E+3	
2.568E007	3.805E+3	
2.576E007	3.811E+3	
2.584E007	3.818E+3	
2.592E007	3.798E+3	
2.6E07	3.746E+3	
2.608E007	3.711E+3	
2.616E007	3.702E+3	
2.624E007	3.731E+3	
2.632E007	3.739E+3	
2.64E07	3.702E+3	
