E_x mode,980,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,434809.8102883797,433707.3702880783,819371.3042805964,819955.378273295,9322505.209164253,1.454048330317666,0.9633140649342408
E_y mode,980,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,433707.3702880783,434809.8102883797,819955.378273295,819371.3042805964,9322505.209164253,1.454048330317666,0.964991301708702
E_x mode,980,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,434809.8102883797,433707.3702880783,819371.3042805964,819955.378273295,9322505.209164253,1.454048330317666,0.9654703946250698
E_y mode,980,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,433707.3702880783,434809.8102883797,819955.378273295,819371.3042805964,9322505.209164253,1.454048330317666,0.9607898170035304
E_x mode,1530,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,365336.67208394036,364301.40190751903,468547.6493177556,469353.03580437123,5961938.499114882,1.451774133292334,0.8665443811846799
E_y mode,1530,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364301.40190751903,365336.67208394036,469353.03580437123,468547.6493177556,5961938.499114882,1.451774133292334,0.8727446208496261
E_x mode,1531,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,365229.61277353397,364189.0384903503,468138.9938114632,468948.9650452263,5958028.61359964,1.4517702982590597,0.8681542290051311
E_y mode,1531,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364189.0384903503,365229.61277353397,468948.9650452263,468138.9938114632,5958028.61359964,1.4517702982590597,0.8688965588213468
E_x mode,1532,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,365116.71681886585,364082.79817009,467735.47763137746,468540.72396354,5954123.827826952,1.4517664621172015,0.8732339735842605
E_y mode,1532,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364082.79817009,365116.71681886585,468540.72396354,467735.47763137746,5954123.827826952,1.4517664621172015,0.8724743269537794
E_x mode,1533,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,365009.9406616792,363970.72394442273,467327.7689172403,468137.59995794075,5950224.129736633,1.4517626243592088,0.8670821256762066
E_y mode,1533,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363970.72394442273,365009.9406616792,468137.59995794075,467327.7689172403,5950224.129736633,1.4517626243592088,0.8657168277892467
E_x mode,1534,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364897.33510076674,363864.7644554443,466925.1967989228,467730.3045101291,5946329.511457664,1.4517587854926117,0.8705866887115701
E_y mode,1534,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363864.7644554443,364897.33510076674,467730.3045101291,466925.1967989228,5946329.511457664,1.4517587854926117,0.8683376551444769
E_x mode,1535,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364790.8409852951,363752.9782963347,466518.4310285042,467328.1234171579,5942439.960984523,1.4517549450098572,0.867587375246172
E_y mode,1535,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363752.9782963347,364790.8409852951,467328.1234171579,466518.4310285042,5942439.960984523,1.4517549450098572,0.8692052411729251
E_x mode,1536,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364678.52468922525,363647.2985369306,466116.79914222285,466921.76976330165,5938555.470495268,1.451751103418478,0.8673346528672999
E_y mode,1536,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363647.2985369306,364678.52468922525,466921.76976330165,466116.79914222285,5938555.470495268,1.451751103418478,0.8714625586059432
E_x mode,1537,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364566.3545431829,363535.7993252748,465715.63571470516,466520.5277616315,5934676.3939773245,1.4517473497272477,0.8718709052481516
E_y mode,1537,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363535.7993252748,364566.3545431829,466520.5277616315,465715.63571470516,5934676.3939773245,1.4517473497272477,0.8727959798732076
E_x mode,1538,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364460.28335547715,363424.4451060921,465310.2770222142,466119.75365282845,5930801.990634996,1.4517435051889533,0.8706526518252683
E_y mode,1538,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363424.4451060921,364460.28335547715,466119.75365282845,465310.2770222142,5930801.990634996,1.4517435051889533,0.873634735695387
E_x mode,1539,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364348.4007868394,363319.1848219761,464910.04812089645,465714.8053691189,5926932.617728537,1.4517396595420047,0.8703553035204561
E_y mode,1539,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363319.1848219761,364348.4007868394,465714.8053691189,464910.04812089645,5926932.617728537,1.4517396595420047,0.8660130352776204
E_x mode,1540,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364242.60888233606,363208.1158774307,464505.6228386819,465314.9646582722,5923068.263387554,1.4517358122788406,0.8650686687342612
E_y mode,1540,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363208.1158774307,364242.60888233606,465314.9646582722,464505.6228386819,5923068.263387554,1.4517358122788406,0.867753479565604
E_x mode,1541,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364131.0127767811,363097.1910846628,464106.3246823704,464915.5890077789,5919209.284379172,1.4517320532955582,0.871749537413386
E_y mode,1541,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363097.1910846628,364131.0127767811,464915.5890077789,464106.3246823704,5919209.284379172,1.4517320532955582,0.8705469685375697
E_x mode,1542,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,364019.5614132566,362992.34781408374,463707.49026494205,464512.0375703199,5915354.940877691,1.4517282035929435,0.8712021281473513
E_y mode,1542,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362992.34781408374,364019.5614132566,464512.0375703199,463707.49026494205,5915354.940877691,1.4517282035929435,0.8694041664480802
E_x mode,1543,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363914.18831308704,362881.7066361238,463304.45785670006,464113.5896677859,5911505.586703369,1.4517243522740797,0.8696512510864225
E_y mode,1543,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362881.7066361238,363914.18831308704,464113.5896677859,463304.45785670006,5911505.586703369,1.4517243522740797,0.8692459061406179
E_x mode,1544,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363803.021746966,362771.2087757521,462906.5485506428,463715.6040146501,5907661.578370782,1.4517205893293856,0.8663164878863956
E_y mode,1544,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362771.2087757521,363803.021746966,463715.6040146501,462906.5485506428,5907661.578370782,1.4517205893293856,0.86726513805217
E_x mode,1545,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363697.92520722793,362660.8539546817,462504.4401396727,463318.07967940933,5903822.175745851,1.4517167353164986,0.864796423283648
E_y mode,1545,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362660.8539546817,363697.92520722793,463318.07967940933,462504.4401396727,5903822.175745851,1.4517167353164986,0.868549489658193
E_x mode,1546,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363587.0423385441,362556.5641835931,462107.45221153897,462916.37745203846,5899987.735506508,1.4517128801963493,0.8728375483445582
E_y mode,1546,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362556.5641835931,363587.0423385441,462916.37745203846,462107.45221153897,5899987.735506508,1.4517128801963493,0.8704302372138708
E_x mode,1547,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363476.3028219853,362446.490780903,461710.9233620621,462519.7733995772,5896158.610810197,1.4517091132901498,0.8675635966192594
E_y mode,1547,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362446.490780903,363476.3028219853,462519.7733995772,461710.9233620621,5896158.610810197,1.4517091132901498,0.8658826591280459
E_x mode,1548,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363365.70637973724,362336.5595919115,461314.852667149,462123.6278824703,5892334.428027287,1.4517053450840607,0.8719825582373402
E_y mode,1548,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362336.5595919115,363365.70637973724,462123.6278824703,461314.852667149,5892334.428027287,1.4517053450840607,0.865272767624957
E_x mode,1549,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363261.1635530568,362226.7703411886,460914.58076609997,461727.9399786222,5888514.812952485,1.4517014856844637,0.8684123869154464
E_y mode,1549,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362226.7703411886,363261.1635530568,461727.9399786222,460914.58076609997,5888514.812952485,1.4517014856844637,0.8695615299798337
E_x mode,1550,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363150.84861542383,362123.02975893725,460519.4240431257,461328.0720802957,5884700.121924625,1.4516976251775642,0.8682266177691603
E_y mode,1550,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362123.02975893725,363150.84861542383,461328.0720802957,460519.4240431257,5884700.121924625,1.4516976251775642,0.8679443154973344
E_x mode,1551,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,363040.6759278717,362013.51975278836,460124.7227142414,460933.2970693494,5880890.7077720035,1.4516938530098447,0.8682320519151578
E_y mode,1551,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362013.51975278836,363040.6759278717,460933.2970693494,460124.7227142414,5880890.7077720035,1.4516938530098447,0.8643839944297532
E_x mode,1552,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362930.6452154325,361904.15086778154,459730.4758646625,460538.9769171652,5877086.197395545,1.4516900795421952,0.871033067012099
E_y mode,1552,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361904.15086778154,362930.6452154325,460538.9769171652,459730.4758646625,5877086.197395545,1.4516900795421952,0.8650773214260524
E_x mode,1553,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362826.65179794136,361794.9228313065,459332.02570992406,460145.11071093206,5873286.2171205925,1.4516862147557184,0.8687045680530917
E_y mode,1553,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361794.9228313065,362826.65179794136,460145.11071093206,459332.02570992406,5873286.2171205925,1.4516862147557184,0.8624683302736907
E_x mode,1554,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362716.9004198359,361685.835371455,458938.6855008142,459751.6975401408,5869491.486011398,1.4516824386572258,0.8644939113820556
E_y mode,1554,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361685.835371455,362716.9004198359,459751.6975401408,458938.6855008142,5869491.486011398,1.4516824386572258,0.8699917387715392
E_x mode,1555,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362607.29020105925,361576.88821701816,458545.797038287,459358.73649657634,5865701.630332636,1.451678661258772,0.8648818546730878
E_y mode,1555,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361576.88821701816,362607.29020105925,459358.73649657634,458545.797038287,5865701.630332636,1.451678661258772,0.8618201002756892
E_x mode,1556,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362497.82086945313,361468.08109748404,458153.35941674566,458966.22667431046,5861916.640684334,1.451674882560347,0.8649830188361431
E_y mode,1556,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361468.08109748404,362497.82086945313,458966.22667431046,458153.35941674566,5861916.640684334,1.451674882560347,0.866614224674433
E_x mode,1557,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362388.49215355894,361359.4137430362,457761.37173287134,458574.1671696949,5858136.507690673,1.4516711025619404,0.8637465063983623
E_y mode,1557,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361359.4137430362,362388.49215355894,458574.1671696949,457761.37173287134,5858136.507690673,1.4516711025619404,0.863304118398904
E_x mode,1558,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,362279.3037826144,361256.76255825354,457369.8330856148,458177.923597273,5854360.8593692295,1.4516672313444088,0.8671130335647745
E_y mode,1558,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
1,1,0.0000025,0.0000025,1.45,1.4572,361256.76255825354,362279.3037826144,458177.923597273,457369.8330856148,5854360.8593692295,1.4516672313444088,0.8656403747829846
E_x mode,1559,nm
P, Q, a, d, n_0, n_1, kx, ky, gamma_x, gamma_y, beta, n_eff, cont_x
